,name,url,year,text,cast,genre,director
365,Mahabhoj,https://www.imdb.com/title/tt34941889/?ref_=sr_t_366,missing,missing,"'dayahang rai', 'anjana baraili'",drama,dineshraut
366,Kaira,https://www.imdb.com/title/tt8674396/?ref_=sr_t_367,2018,missing,"'aaryan sigdel', 'samragyee rajya laxmi shah'",romance,laxmanrijal
367,Dhulo,https://www.imdb.com/title/tt11944088/?ref_=sr_t_368,2020,Dhulo is an illustration of a Nepalese labor class life style that is also socially isolated. The hardship people like Surya Bahadur in society have to go through to sustain and live their dream.,"'laxmi bardewa', 'damodar gajurel'",drama,pradhumnamishra
368,Sushree Sampatti,https://www.imdb.com/title/tt7969202/?ref_=sr_t_369,2018,Two slum dwellers in Pokhara in search of a rich girl to get married and get settled in life influenced by their fellow mates.,"'bisharad basnet', 'pramod agrahari'",romance,subratacharya
369,Jindagani,https://www.imdb.com/title/tt8886898/?ref_=sr_t_370,2000,missing,"'pooja chand', 'rajesh hamal'",drama,ujwalghimire
370,Jasmine,https://www.imdb.com/title/tt32856941/?ref_=sr_t_371,2025,missing,"'aaryan adhikari', 'ashishma nakarmi'",drama,shankarkarki
371,Uma,https://www.imdb.com/title/tt2792440/?ref_=sr_t_372,2013,"Set in the early 2000s, Uma is a story about Uma, her brother Milan and their widow mother living in rural Nepal during the Maoist insurgency.","'reecha sharma', 'saugat malla'",drama,tseringrhitarsherpa
372,Kasle Choryo Mero Man,https://www.imdb.com/title/tt7210246/?ref_=sr_t_373,2010,"Manavi father forces her to get married to his billionaire partner's son so they can become the richest person in Nepal,at the marriage Manavi runs away.","'aaryan sigdel', 'rekha thapa'","drama, romance",shabirshrestha
373,Hijo Aaja Bholi,https://www.imdb.com/title/tt8378014/?ref_=sr_t_374,1968,missing,"'basundhara bhusal', 'bhubhan chand'",drama,hirasinghkhatri
374,Mamaghar,https://www.imdb.com/title/tt0392407/?ref_=sr_t_375,2002,"A woman raises her son with his uncle, when she is forced to leave her home after her mother-in-law's death.","'prem pandey', 'gauri malla'","action, drama",narayanpuri
375,Rani,https://www.imdb.com/title/tt26813905/?ref_=sr_t_376,2017,"Two characters with a strong bond for each other shared everything in their life until they both fall in love with Rani, where selfishness and jealousy begins between the two.","'anoop bikram shahi', 'manish shrestha'",drama,dayaramdahal
376,Ama Khando,https://www.imdb.com/title/tt13647276/?ref_=sr_t_377,2019,"A single-mother treks over rugged mountains, along with a family of winter-migrants, to give up her only son to foster care.",'pema dolker',drama,dhonduptsering
377,Batch No.16,https://www.imdb.com/title/tt2098630/?ref_=sr_t_378,2011,"Ram and Guru are police officers who have proved themselves time and again of being trustworthy and capable. When an important mission comes up where the prospect of earning a quick buck is too lucrative to pass up, Guru decides to forgo the mission and get his hands on a large sum of money. Ram trying to stop his friend from making a big mistake escapes with the money only to take the police think he betrayed his country. As Ram struggles to prove his innocence and protect his family, Guru is hot and Ram's trail trying to claim what he thinks is rightfully his.","'anup baral', 'rubi bhattarai'",action,pitamberpandey
378,Bir Bikram,https://www.imdb.com/title/tt6568628/?ref_=sr_t_379,2016,Bir decides to save his crush June for his friend since he had promised to save her.,"'dayahang rai', 'anoop bikram shahi'","action, comedy, romance",milanchams
379,Dasdhunga Chapter 2,https://www.imdb.com/title/tt10435560/?ref_=sr_t_380,2020,Dasdhunga chapter 2 is Nepali Movie based on real events of the mysterious death of Leader of CPN-UML Madan Bhandari . Dasdhunga chapter 2 reopen the case with some shocking twists and political conspiracies.,"'divya dev', 'saugat malla'",history,kumarbhattarai
380,Neerphool,https://www.imdb.com/title/tt11941288/?ref_=sr_t_381,2023,missing,"'sarita giri', 'pushkar gurung'",drama,phulmanbal
381,Antaral,https://www.imdb.com/title/tt6724886/?ref_=sr_t_382,2013,missing,"'ashishma nakarmi', 'kamal mani nepal'",drama,dipabasnet
382,Bagh Ko Bangara,https://www.imdb.com/title/tt23787648/?ref_=sr_t_383,2022,"High above the steep hills of Jajarkot, Nepal, four lives are tied together in the rugged cliffs of Khal Taakuri. Along the extreme topography of Nepal, and across the mental and emotional geographies of the tenacious human spirit, this documentary witnesses the perilous journey into the tiger's jaw.",'kamal kumar',documentary,kamalkumar
383,Shankar,https://www.imdb.com/title/tt0301835/?ref_=sr_t_384,1997,missing,"'rajesh hamal', 'bipana thapa'",,narayanpuri
384,Maya Ta Maya Ho,https://www.imdb.com/title/tt8228040/?ref_=sr_t_385,2009,missing,"'tulsi ghimire', 'laxmi giri'",romance,tulsighimire
385,Classic,https://www.imdb.com/title/tt8400458/?ref_=sr_t_386,2016,missing,"'aaryan sigdel', 'namrata shrestha'",drama,dineshraut
386,Commitment: 60 Hours,https://www.imdb.com/title/tt7894204/?ref_=sr_t_387,missing,Upcoming Nepalese action film.,"'sayaji shinde', 'nikhil upreti'",action,sayajishinde
387,Rajja Rani,https://www.imdb.com/title/tt7819598/?ref_=sr_t_388,2018,"Rajja Rani is a story inspired by true incidents in Terai region of Nepal, where Raja struggles for his love with Rani and the obstacles due to social and cultural values.","'najir hussain', 'keki adhikari'",romance,yamthapa
388,Chankhe Shankhe Pankhe,https://www.imdb.com/title/tt5955818/?ref_=sr_t_389,2015,"The Nepali movie 'Chankhe Shankha Pankhe' was released in theater on September 25, 2015. The movie featuring Sudarshan Thapa in leading role is also produced and directed by himself with producer Santosh Sen Thakuri.","'subash thapa', 'sudarshan thapa'",comedy,sudarshanthapa
389,Saayad 2,https://www.imdb.com/title/tt6501310/?ref_=sr_t_390,2017,missing,"'sushil shrestha', 'sharon shrestha'",drama,pusparajneupane
390,Jungle Queen,https://www.imdb.com/title/tt12691768/?ref_=sr_t_391,2009,missing,"'lok nath dhakal', 'shyam katuwal'",adventure,karanshrestha
391,The Palmist,https://www.imdb.com/title/tt4701840/?ref_=sr_t_392,2014,missing,"'hitesh sharma', 'suresh khadka'","drama, mystery, romance",hiteshsharma
392,Mama Bhanja,https://www.imdb.com/title/tt0316212/?ref_=sr_t_393,2002,missing,'bipana thapa',,narayanpuri
393,Mother Rebika,https://www.imdb.com/title/tt35198342/?ref_=sr_t_394,2024,"Mother Rebika is a documentary film that tells the story of a woman's struggle in a patriarchal society. Rebika faces immense challenges throughout her life, from losing her mother at a young age to enduring the hardships of poverty and family struggles. As she grows older, she becomes a victim of abuse from her husband, yet she never gives up. The film explores the theme of resilience and the hardships women face in a country like Nepal. It focuses on finding hope in even the most difficult circumstances. Mother Rebika is a story of perseverance and strength, offering a message of hope and courage for anyone facing adversity.",'rebika sahane',documentary,sandeshbhurtel
394,Maina,https://www.imdb.com/title/tt6710198/?ref_=sr_t_395,2008,"Based on a true story of a girl, Maina Sunar, who was raped and killed by Nepal Army personnel on February 2004.","'anita k.c.', 'govinda prabhat'",biography,k.p.pathak
395,Manmandir,https://www.imdb.com/title/tt0316220/?ref_=sr_t_396,2002,The boy mother died in boy birthday and he's father found another girl just look alike as he's mother,"'jharana bajracharya', 'bhubhan chand'",,yuvrajlama
396,King Returns,https://www.imdb.com/title/tt7704424/?ref_=sr_t_397,2017,missing,"'benisha hamal', 'anoop bikram shahi'",action,shabirshrestha
397,Ritu,https://www.imdb.com/title/tt3451716/?ref_=sr_t_398,2014,"It is a story of youths and their struggle against the time, seasons, hearts and feelings that are trying their best to not remain the same.","'raj ballav koirala', 'malina joshi'","drama, romance",manojadhikari
398,Pandit Bajeko Lauri,https://www.imdb.com/title/tt8581484/?ref_=sr_t_399,2018,missing,"'praween khatiwada', 'pramod agrahari'",drama,dipakoli
399,Jai Parshuram,https://www.imdb.com/title/tt8778914/?ref_=sr_t_400,2016,missing,'rachna vasavada',action,roserana
400,Hasiya,https://www.imdb.com/title/tt8754286/?ref_=sr_t_401,2014,missing,"'rajesh hamal', 'ruby rana'",action,milanchams
401,Parva,https://www.imdb.com/title/tt8619976/?ref_=sr_t_402,2017,"A character continuously carries out attacks for his self satisfaction, after an incident occurred at a festival.","'namrata shrestha', 'koshish chhetri'",horror,dineshraut
